epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.866,1.52857,4.0122,1.39845,0.00318,0.86531,0.43732,0.22225,1.39942,3.56533,1.12898,0.00026,0.00026,0.00026
2,214.469,1.51594,2.98517,1.38319,0.00332,0.90204,0.28758,0.13204,1.27614,3.52564,1.14251,0.00048654,0.00048654,0.00048654
3,322.155,1.51206,2.63595,1.33702,0.00333,0.90612,0.39674,0.18207,1.411,3.49307,1.22269,0.00065764,0.00065764,0.00065764
4,429.651,1.59047,2.38188,1.34219,0.83341,0.08163,0.36386,0.1876,1.48539,3.41775,1.26,0.0007733,0.0007733,0.0007733
5,538.166,1.53733,2.32253,1.35345,0.4647,0.38367,0.33916,0.17464,1.48349,2.94968,1.28214,0.00083352,0.00083352,0.00083352
6,644.705,1.44485,2.18084,1.34087,0.37198,0.53061,0.29928,0.15532,1.52578,2.77046,1.3642,0.0008383,0.0008383,0.0008383
7,752.491,1.50103,2.0397,1.32197,0.59472,0.63265,0.51279,0.27339,1.4935,2.3962,1.3221,0.00078764,0.00078764,0.00078764
8,866.764,1.45391,1.88019,1.25726,0.74647,0.66531,0.70811,0.37259,1.55006,2.29209,1.37641,0.000614,0.000614,0.000614
9,974.328,1.35403,1.8827,1.2389,0.80568,0.67693,0.77919,0.38997,1.52439,1.96068,1.34165,0.000416,0.000416,0.000416
10,1079.79,1.35015,1.8191,1.2632,0.86567,0.76282,0.83353,0.46171,1.47623,1.68889,1.27911,0.000218,0.000218,0.000218
